Episode,Value
437,[0.53721786]
438,[0.6812198]
439,[0.5663379]
440,[0.58854413]
441,[0.56906664]
442,[0.5425192]
443,[0.64798397]
444,[0.56100875]
445,[0.57287824]
446,[0.57357967]
447,[0.56561285]
448,[0.65524024]
449,[0.68214405]
450,[0.8088142]
451,[0.55727446]
452,[0.5610492]
453,[0.5418342]
454,[0.55815]
455,[1.6882685]
456,[0.5546083]
457,[0.90147865]
458,[1.4051752]
459,[0.54531693]
460,[0.5597788]
461,[0.9871972]
462,[0.5569348]
463,[0.55526316]
464,[0.5533373]
465,[0.5929352]
466,[0.56461495]
467,[0.73889774]
468,[0.5579473]
469,[0.5887231]
470,[0.59131396]
471,[0.58130133]
472,[1.6015655]
473,[0.5579275]
474,[0.6284556]
475,[1.4941393]
476,[0.5340967]
477,[0.55426395]
478,[0.8562033]
479,[0.56102043]
480,[0.62449664]
481,[0.5610136]
482,[0.5802047]
483,[0.5573847]
484,[0.7298491]
485,[0.7570338]
486,[0.93469214]
487,[0.569822]
488,[0.5590716]
489,[0.8652669]
490,[0.9586661]
491,[0.54561806]
492,[0.5581445]
493,[0.5696155]
494,[0.5601206]
495,[0.5750316]
496,[0.679445]
497,[0.65564436]
498,[0.54760695]
499,[0.57357705]
500,[0.5374156]
501,[0.5741012]
502,[0.57737195]
503,[0.5396341]
504,[0.56431097]
505,[0.5840039]
506,[0.5851358]
507,[0.6628585]
508,[0.582692]
509,[0.55461276]
510,[0.5373404]
511,[1.206131]
512,[0.5667119]
513,[0.56422347]
514,[0.81713974]
515,[0.63378733]
516,[0.5444483]
517,[0.57970047]
518,[0.5692714]
519,[0.54535425]
520,[1.3269134]
521,[0.56125575]
522,[0.5541071]
523,[0.5751192]
524,[0.58945984]
525,[0.55523705]
526,[0.5637355]
527,[0.53862137]
528,[2.4428709]
529,[1.1445916]
530,[1.0667853]
531,[1.2374302]
532,[0.53438026]
533,[0.5542797]
534,[0.8403971]
535,[0.5543155]
536,[0.5468875]
537,[0.548387]
538,[0.58984977]
539,[0.5890784]
540,[0.5655685]
541,[0.5650999]
542,[0.54084563]
543,[0.84597087]
544,[0.5579284]
545,[0.56279755]
546,[0.5405186]
547,[0.5481362]
548,[0.5721802]
549,[0.5553193]
550,[0.5414942]
551,[0.54044104]
552,[0.56103957]
553,[0.554167]
554,[0.543981]
555,[0.6239669]
556,[0.7021565]
557,[0.6203095]
558,[0.94775015]
559,[1.2260835]
560,[0.7628039]
561,[0.5606868]
562,[0.55727047]
563,[0.8069748]
564,[0.56951785]
565,[0.53955346]
566,[0.922114]
567,[0.54375446]
568,[0.9160247]
569,[0.7535616]
570,[0.9822357]
571,[0.82773274]
572,[0.5420393]
573,[0.57161415]
574,[0.55955684]
575,[0.5585277]
576,[0.54937655]
577,[0.53917426]
578,[0.56040716]
579,[0.6463014]
580,[0.55936676]
581,[1.1530502]
582,[0.54341316]
583,[0.56402993]
584,[0.5531512]
585,[0.8279942]
586,[0.6282218]
587,[0.5505813]
588,[0.54998976]
589,[0.5814552]
590,[0.9318772]
591,[0.577958]
592,[0.5552007]
593,[0.55496514]
594,[0.81225187]
595,[0.568489]
596,[1.7373393]
597,[0.6239565]
598,[0.5669324]
599,[0.67418516]
600,[0.5488173]
601,[0.54388344]
602,[0.5636896]
603,[0.59668237]
604,[0.54486537]
605,[0.56810236]
606,[0.54363966]
607,[0.5553822]
608,[1.5586854]
609,[2.0195942]
610,[0.5539098]
611,[0.6772872]
612,[0.5839481]
613,[0.5825385]
614,[0.5628631]
615,[0.5645972]
616,[0.5432142]
617,[0.714421]
618,[0.7802254]
619,[0.5463634]
620,[0.54962474]
621,[0.5612761]
622,[0.7140395]
623,[0.55299217]
624,[0.56239295]
625,[0.58134186]
626,[0.8239217]
627,[0.5614973]
628,[1.0104194]
629,[1.3320628]
630,[0.54685843]
631,[0.5459164]
632,[0.55225825]
633,[0.57586133]
634,[0.5597311]
635,[0.5425785]
636,[0.5844184]
637,[0.5875306]
638,[0.6228752]
639,[0.839098]
640,[0.57154524]
641,[0.5753117]
642,[0.57103854]
643,[0.6718377]
644,[0.910134]
645,[0.6156706]
646,[0.5774608]
647,[0.57451075]
648,[0.6870615]
649,[0.5955085]
650,[0.60717255]
651,[0.6633302]
652,[1.2819905]
653,[0.54604065]
654,[0.64643174]
655,[0.7041296]
656,[0.5600159]
657,[0.5919272]
658,[0.54385483]
659,[0.5412522]
660,[0.61637306]
661,[0.5586459]
662,[0.54185146]
663,[1.1528646]
664,[0.6027794]
665,[0.5569968]
666,[0.5695547]
667,[0.5741278]
668,[0.6296113]
669,[0.5670798]
670,[0.58454245]
671,[0.59434855]
672,[0.6997902]
673,[0.72199625]
674,[0.5551734]
675,[0.88248503]
676,[0.89352304]
677,[0.5732891]
678,[1.3937796]
679,[0.5446012]
680,[0.58750963]
681,[0.6153602]
682,[0.60189617]
683,[0.5996599]
684,[0.60796577]
685,[0.57792866]
686,[0.5952922]
687,[0.5484983]
688,[0.7342522]
689,[0.59533405]
690,[0.5691999]
691,[0.5854089]
692,[0.5607064]
693,[0.5496899]
694,[0.56411666]
695,[0.56947047]
696,[0.60237557]
697,[0.9431279]
698,[0.5748374]
699,[0.563426]
700,[0.58112645]
701,[0.5593863]
702,[0.814389]
703,[0.5517321]
704,[0.5621692]
705,[0.56182486]
706,[0.5510252]
707,[0.8745388]
708,[0.54657876]
709,[0.5755224]
710,[0.57542217]
711,[0.5500543]
712,[0.88506275]
713,[0.5611589]
714,[0.811411]
715,[0.5944151]
716,[0.57146543]
717,[0.6372239]
718,[0.57928634]
719,[0.54534674]
720,[0.69784963]
721,[0.82129735]
722,[0.54460776]
723,[0.5739368]
724,[0.7274597]
725,[0.5854974]
726,[0.6186576]
727,[0.5628593]
728,[0.55419314]
729,[0.6012999]
730,[0.80590534]
731,[0.5592386]
732,[0.6066642]
733,[0.5646984]
734,[1.1178643]
735,[0.5482119]
736,[0.63650215]
737,[0.60877365]
738,[1.3349087]
739,[1.2061179]
740,[0.56529236]
741,[0.6997724]
742,[0.5665673]
743,[0.5722852]
744,[0.54397106]
745,[0.7400575]
746,[0.5505463]
747,[0.55663097]
748,[0.66560656]
749,[0.6115551]
750,[0.6918951]
751,[0.5488929]
752,[0.53758556]
753,[0.5393134]
754,[0.9799235]
755,[0.67268014]
756,[0.5508575]
757,[0.55970293]
758,[0.566991]
759,[2.321752]
760,[0.7077803]
761,[0.9351137]
762,[1.2907298]
763,[0.5421506]
764,[0.9917169]
765,[0.5815178]
766,[0.6066893]
767,[0.57480115]
768,[2.1978424]
769,[0.5659871]
770,[0.6724988]
771,[0.5621874]
772,[0.8730869]
773,[0.5741454]
774,[0.56713665]
775,[0.9252642]
776,[0.756769]
777,[0.56522775]
778,[1.5314634]
779,[0.5555353]
780,[0.620269]
781,[0.55078995]
782,[1.0665562]
783,[0.54173523]
784,[0.58430696]
785,[0.56278014]
786,[0.54004014]
787,[0.539311]
788,[0.5387055]
789,[0.57239544]
790,[0.94570184]
791,[0.54478234]
792,[0.71998304]
793,[0.6918314]
794,[0.55504495]
795,[0.90677077]
796,[0.55297625]
797,[0.5732787]
798,[0.58878726]
799,[0.5568513]
800,[0.60740787]
801,[0.96409124]
802,[0.56794983]
803,[0.66180414]
804,[0.57422787]
805,[0.6032244]
806,[0.5596249]
807,[0.5490747]
808,[0.5457071]
809,[0.5663921]
810,[0.9410207]
811,[0.7579528]
812,[0.76348084]
813,[0.6017173]
814,[0.58992636]
815,[0.8537536]
816,[0.58026403]
817,[0.5488789]
818,[0.80137515]
819,[0.5465127]
820,[0.5932966]
821,[0.57029164]
822,[0.57831216]
823,[0.84576136]
824,[0.5629355]
825,[0.56868124]
826,[1.3673385]
827,[0.5571438]
828,[0.56519556]
829,[2.1895068]
830,[0.5635593]
831,[1.1292558]
832,[0.6258312]
833,[0.5615018]
834,[0.5512885]
835,[0.5838309]
836,[0.55826896]
837,[0.560227]
838,[0.55918866]
839,[0.53806424]
840,[0.5906721]
841,[0.55273646]
842,[0.58084834]
843,[0.5610025]
844,[0.5456676]
845,[0.5698958]
846,[0.5858551]
847,[0.6658431]
848,[0.5482618]
849,[0.6235413]
850,[0.548137]
851,[0.6192479]
852,[0.55498207]
853,[0.6084653]
854,[0.570481]
855,[0.9611881]
856,[0.5854144]
857,[0.5578218]
858,[0.6053333]
859,[0.71987534]
860,[1.7478598]
861,[0.5539726]
862,[0.552661]
863,[0.5306247]
864,[0.54589194]
865,[0.5575442]
866,[0.54660493]
