episode,cluster_id,ordered_target_ids,total_path_distance,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
70,2,"[9, 10, 11, 12]",291.9497859907885,16.04921979258283,4,4,1.7207747250795364,3,1,0.75,0,True,False,0.9113333333333333,30.0298134782743,280,280,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
71,3,"[13, 16, 14, 15]",123.25600894347023,26.004300419945153,4,4,1.1141793429851532,2,2,0.5,0,True,False,0.9100666666666667,30.0298134782743,284,284,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
72,0,"[2, 4, 1, 3]",215.4025964068288,19.153797349410187,4,4,1.0650161504745483,3,1,0.75,0,True,False,0.9088,30.0298134782743,288,288,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
73,2,"[12, 9, 11, 10]",219.43660454395496,18.160657389833798,4,4,2.156352773308754,4,0,1.0,0,True,False,0.9075333333333333,30.0298134782743,292,292,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
74,0,"[2, 1, 3, 4]",184.61659237869566,25.07248208498785,4,4,1.4149205535650253,3,1,0.75,0,True,False,0.9062666666666667,30.0298134782743,296,296,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
75,3,"[14, 15, 16, 13]",131.81001590286493,22.83455840964945,4,4,3.9557894319295883,4,0,1.0,0,True,False,0.905,30.0298134782743,300,300,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
76,2,"[9, 12, 10, 11]",235.16725909308468,17.2614748534927,4,4,17.993462324142456,3,1,0.75,0,True,False,0.9037333333333334,30.0298134782743,304,304,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
77,1,"[7, 8, 5, 6]",153.3103074252724,21.556848934156413,4,4,14.275800466537476,4,0,1.0,0,True,False,0.9024666666666666,30.0298134782743,308,308,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
78,1,"[5, 7, 8, 6]",164.60582761657668,30.135987974687502,4,4,12.016619205474854,3,1,0.75,0,True,True,0.9012,30.135987974687502,312,312,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\best.pt,
79,2,"[9, 12, 11, 10]",260.1067023835589,16.613362458185996,4,4,7.29113245010376,4,0,1.0,0,True,False,0.8999333333333334,30.135987974687502,316,316,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
80,3,"[15, 13, 16, 14]",110.72440362060973,26.524306284948956,4,4,7.745802164077759,3,1,0.75,0,True,False,0.8986666666666667,30.135987974687502,320,320,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
81,4,"[18, 17, 20, 19]",226.09088850786196,17.504009638393,4,4,5.279518008232117,4,0,1.0,0,True,False,0.8974,30.135987974687502,324,324,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
82,2,"[11, 10, 9, 12]",277.7473121039117,16.332982282912475,4,4,4.554577171802521,4,0,1.0,0,True,False,0.8961333333333333,30.135987974687502,328,328,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
83,0,"[1, 3, 4, 2]",181.66116066125574,24.446168855463334,4,4,4.421084403991699,3,1,0.75,0,True,False,0.8948666666666667,30.135987974687502,332,332,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
84,4,"[17, 18, 19, 20]",203.3829533695797,19.224435218385615,4,4,3.7737919688224792,4,0,1.0,0,True,False,0.8936,30.135987974687502,336,336,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
