episode,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
51,-11.500290831428785,20,20,0.1325996659696102,17,3,0.85,0,True,False,0.8062,-9.194228066397764,1020,1020,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
52,-10.731857140946843,20,20,0.15918001849204302,16,4,0.8,0,True,False,0.8024,-9.194228066397764,1040,1040,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
53,-11.504207073219781,20,20,0.24415188394486903,18,2,0.9,0,True,False,0.7986,-9.194228066397764,1060,1060,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
54,-11.50338864041179,20,20,0.18472864329814911,17,3,0.85,0,True,False,0.7948,-9.194228066397764,1080,1080,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
55,-10.73520144534128,20,20,0.1519292749464512,11,9,0.55,0,True,False,0.791,-9.194228066397764,1100,1100,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
56,-14.580553552823934,20,20,0.1316583350300789,15,5,0.75,0,True,False,0.7872,-9.194228066397764,1120,1120,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
57,-13.038448188331481,20,20,0.15257005169987678,17,3,0.85,0,True,False,0.7834,-9.194228066397764,1140,1140,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
58,-10.727119049715851,20,20,0.1410046385601163,12,8,0.6,0,True,False,0.7796,-9.194228066397764,1160,1160,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
59,-12.264892003755723,20,20,0.16201599687337875,16,4,0.8,0,True,False,0.7758,-9.194228066397764,1180,1180,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
60,-12.273545190755222,20,20,0.13511710856109857,13,7,0.65,0,True,False,0.772,-9.194228066397764,1200,1200,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
61,-12.272264532442737,20,20,0.15786555912345648,14,6,0.7,0,True,False,0.7682,-9.194228066397764,1220,1220,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
62,-11.500170840234254,20,20,0.19419029597193002,14,6,0.7,0,True,False,0.7644,-9.194228066397764,1240,1240,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
63,-12.261205955471418,20,20,0.17590414751321076,15,5,0.75,0,True,False,0.7605999999999999,-9.194228066397764,1260,1260,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
64,-12.274217559961597,20,20,0.1935529287904501,18,2,0.9,0,True,False,0.7568,-9.194228066397764,1280,1280,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
65,-8.426797052876246,20,20,0.26828381083905695,14,6,0.7,0,True,True,0.753,-8.426797052876246,1300,1300,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
66,-10.73446544247453,20,20,0.19566966202110053,14,6,0.7,0,True,False,0.7492,-8.426797052876246,1320,1320,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
